subregion,subregion_name,native_class,pixel_count,area_ha,spatial_prevalence_pct
9,Eastern Cascades Slopes and Foothills,white pine blister rust,48946,4405.14,0.119
9,Eastern Cascades Slopes and Foothills,Douglas-fir engraver,38595,3473.55,0.094
9,Eastern Cascades Slopes and Foothills,unknown,36725,3305.25,0.089
9,Eastern Cascades Slopes and Foothills,satin moth,33192,2987.28,0.08
9,Eastern Cascades Slopes and Foothills,spruce beetle,29044,2613.96,0.07
9,Eastern Cascades Slopes and Foothills,winter injury,27982,2518.38,0.068
9,Eastern Cascades Slopes and Foothills,black pineleaf scale,24159,2174.31,0.059
9,Eastern Cascades Slopes and Foothills,Cytospora canker of fir,18494,1664.46,0.045
9,Eastern Cascades Slopes and Foothills,hail,17191,1547.19,0.042
9,Eastern Cascades Slopes and Foothills,Gelechiid moths/needleminers,16738,1506.42,0.041
9,Eastern Cascades Slopes and Foothills,frost,10149,913.41,0.025
9,Eastern Cascades Slopes and Foothills,drought,9609,864.81,0.023
9,Eastern Cascades Slopes and Foothills,root disease or bears,8456,761.04,0.02
9,Eastern Cascades Slopes and Foothills,foliage discoloration,6657,599.13,0.016
9,Eastern Cascades Slopes and Foothills,western blackheaded budworm,3495,314.55,0.008
9,Eastern Cascades Slopes and Foothills,flooding-high water,3349,301.41,0.008
9,Eastern Cascades Slopes and Foothills,Douglas-fir tussock moth,2766,248.94,0.007
9,Eastern Cascades Slopes and Foothills,unknown defoliator,2712,244.08,0.007
9,Eastern Cascades Slopes and Foothills,western tent caterpillar,2546,229.14,0.006
9,Eastern Cascades Slopes and Foothills,root diseases/decay,2238,201.42,0.005
9,Eastern Cascades Slopes and Foothills,wind-tornado/hurricane,2152,193.68,0.005
9,Eastern Cascades Slopes and Foothills,flatheaded borer,2027,182.43,0.005
9,Eastern Cascades Slopes and Foothills,weevil,1607,144.63,0.004
9,Eastern Cascades Slopes and Foothills,Diplodia canker,1514,136.26,0.004
9,Eastern Cascades Slopes and Foothills,western oak looper,1354,121.86,0.003
9,Eastern Cascades Slopes and Foothills,pine needle scale,1203,108.27,0.003
9,Eastern Cascades Slopes and Foothills,no data,1194,107.46,0.003
9,Eastern Cascades Slopes and Foothills,sawflies,1179,106.11,0.003
9,Eastern Cascades Slopes and Foothills,mud-land slide,1135,102.15,0.003
9,Eastern Cascades Slopes and Foothills,silver fir beetle,921,82.89,0.002
9,Eastern Cascades Slopes and Foothills,Lophodermella needle cast of pines,728,65.52,0.002
9,Eastern Cascades Slopes and Foothills,leaf rusts of hardwoods,400,36.0,0.001
9,Eastern Cascades Slopes and Foothills,unknown root disease or decay,392,35.28,0.001
9,Eastern Cascades Slopes and Foothills,snow-ice,260,23.4,0.001
9,Eastern Cascades Slopes and Foothills,American beaver,120,10.8,0.0
9,Eastern Cascades Slopes and Foothills,spruce aphid,89,8.01,0.0
9,Eastern Cascades Slopes and Foothills,maple decline,42,3.78,0.0
9,Eastern Cascades Slopes and Foothills,"other pest complex, known (code pending)",40,3.6,0.0
9,Eastern Cascades Slopes and Foothills,heat,4,0.36,0.0
11,Blue Mountains,fir engraver,14492031,1304282.79,37.278
11,Blue Mountains,mountain pine beetle,6576073,591846.57,16.916
11,Blue Mountains,western pine beetle,5659567,509361.03,14.558
11,Blue Mountains,balsam woolly adelgid,4694440,422499.6,12.076
11,Blue Mountains,western spruce budworm,2922139,262992.51,7.517
11,Blue Mountains,Douglas-fir beetle,2524272,227184.48,6.493
11,Blue Mountains,Douglas-fir tussock moth,1667292,150056.28,4.289
11,Blue Mountains,pine butterfly,1657476,149172.84,4.264
11,Blue Mountains,larch casebearer,783806,70542.54,2.016
11,Blue Mountains,fire,447088,40237.92,1.15
11,Blue Mountains,wild fire,240023,21602.07,0.617
11,Blue Mountains,needlecast,173615,15625.35,0.447
11,Blue Mountains,Gelechiid moths/needleminers,122451,11020.59,0.315
11,Blue Mountains,western balsam bark beetle,95546,8599.14,0.246
11,Blue Mountains,larch needle cast,92195,8297.55,0.237
11,Blue Mountains,white pine blister rust,63551,5719.59,0.163
11,Blue Mountains,pine engraver,59695,5372.55,0.154
11,Blue Mountains,ips engraver beetles,59286,5335.74,0.153
11,Blue Mountains,ponderosa pine sawfly,52518,4726.62,0.135
11,Blue Mountains,unknown,46615,4195.35,0.12
11,Blue Mountains,Lophodermium needle cast of pines,28374,2553.66,0.073
11,Blue Mountains,spruce beetle,28306,2547.54,0.073
11,Blue Mountains,Douglas-fir engraver,21462,1931.58,0.055
11,Blue Mountains,foliage discoloration,20365,1832.85,0.052
11,Blue Mountains,satin moth,15946,1435.14,0.041
11,Blue Mountains,black pineleaf scale,13221,1189.89,0.034
11,Blue Mountains,unknown defoliator,9578,862.02,0.025
11,Blue Mountains,snow-ice,8463,761.67,0.022
11,Blue Mountains,decline complex,8260,743.4,0.021
11,Blue Mountains,drought,7159,644.31,0.018
11,Blue Mountains,Diplodia canker,6704,603.36,0.017
11,Blue Mountains,Cytospora canker of fir,2782,250.38,0.007
11,Blue Mountains,bears,1305,117.45,0.003
11,Blue Mountains,wind-tornado/hurricane,1266,113.94,0.003
11,Blue Mountains,winter injury,1227,110.43,0.003
11,Blue Mountains,western tent caterpillar,726,65.34,0.002
11,Blue Mountains,pine needle sheathminer,658,59.22,0.002
11,Blue Mountains,loopers,610,54.9,0.002
11,Blue Mountains,spruce aphid,585,52.65,0.002
11,Blue Mountains,hail,468,42.12,0.001
11,Blue Mountains,root diseases/decay,447,40.23,0.001
11,Blue Mountains,mud-land slide,405,36.45,0.001
11,Blue Mountains,flooding-high water,374,33.66,0.001
11,Blue Mountains,frost,125,11.25,0.0
11,Blue Mountains,sawflies,112,10.08,0.0
11,Blue Mountains,silver fir beetle,65,5.85,0.0
11,Blue Mountains,unknown root disease or decay,30,2.7,0.0
11,Blue Mountains,no data,29,2.61,0.0
15,Northern Rockies,mountain pine beetle,4241484,381733.56,22.398
15,Northern Rockies,fir engraver,4199895,377990.55,22.178
15,Northern Rockies,western spruce budworm,3330789,299771.01,17.589
15,Northern Rockies,Douglas-fir beetle,2355854,212026.86,12.44
15,Northern Rockies,larch needle cast,1840148,165613.32,9.717
15,Northern Rockies,western pine beetle,1713043,154173.87,9.046
15,Northern Rockies,western balsam bark beetle,721994,64979.46,3.813
15,Northern Rockies,unknown,709236,63831.24,3.745
15,Northern Rockies,larch casebearer,357722,32194.98,1.889
15,Northern Rockies,fire,353977,31857.93,1.869
15,Northern Rockies,needlecast,269487,24253.83,1.423
15,Northern Rockies,Douglas-fir engraver,234719,21124.71,1.239
15,Northern Rockies,bears,224171,20175.39,1.184
15,Northern Rockies,balsam woolly adelgid,156772,14109.48,0.828
15,Northern Rockies,ips engraver beetles,97783,8800.47,0.516
15,Northern Rockies,pine engraver,93925,8453.25,0.496
15,Northern Rockies,spruce beetle,63650,5728.5,0.336
15,Northern Rockies,Lophodermium needle cast of pines,47151,4243.59,0.249
15,Northern Rockies,wild fire,37096,3338.64,0.196
15,Northern Rockies,decline complex,22630,2036.7,0.12
15,Northern Rockies,Douglas-fir tussock moth,19913,1792.17,0.105
15,Northern Rockies,wind-tornado/hurricane,18269,1644.21,0.096
